Speaker Name,イン点,アウト点,文字起こし,色選択
ライラ,00:00:00:00,00:00:02:00,もう手放してるからっていうスタンス なるほど,Rose
ライラ,00:00:04:00,00:00:07:00,なので なんかいい意味でそこ,Rose
ライラ,00:00:09:00,00:00:18:00,自己責任の余地をちゃんと分かり合っているというか まあいいこともあれば悪いこともありますけど確かに洗濯機の中に入れなくても,Rose
石川,00:00:19:00,00:00:21:00,注意書きはものすごく増えましたね,Violet
ライラ,00:00:21:00,00:00:25:00,ちょっと思います,Rose
話者3,00:00:31:00,00:00:32:00,ありがとうございます,Lavender
話者3,00:00:33:00,00:00:35:00,また洗濯機の話もめちゃめちゃ面白かったので,Lavender
話者3,00:00:36:00,00:00:37:00,ついに終わってしまいましたが,Lavender
話者3,00:00:41:00,00:00:45:00,今日ほぼトークのまとめでもいいかなと思ってたんですけど,Lavender
話者3,00:00:48:00,00:00:49:00,デザインっていうのが,Lavender
話者3,00:00:50:00,00:00:51:00,ゆっかりデザインする,Lavender
話者3,00:00:51:00,00:00:54:00,最初の雪を見ながらでもありましたけど,Lavender
話者3,00:00:54:00,00:00:58:00,そこまでいくと、なんですかね、デザイン道みたいな感じというか,Lavender
話者3,00:00:59:00,00:01:00:00,デザイン道,Lavender
話者3,00:00:59:00,00:01:03:00,呼吸のような感じもする、道、道,Lavender
話者3,00:01:03:00,00:01:11:00,道的な感じがするというか、一方で言語化する、デザインって見えるようにするというか,Lavender
話者3,00:01:13:00,00:01:16:00,こういうことを考えている人がいるからこういう形に落とし込もうみたいな話とか,Lavender
話者3,00:01:17:00,00:01:20:00,ランドスケープも、こんなこともあるかもしれないですけど,Lavender
話者3,00:01:20:00,00:01:25:00,なんかうまく今ないけど見えるようにするというか,Lavender
話者3,00:01:26:00,00:01:27:00,なんでしょうね,Lavender
話者3,00:01:28:00,00:01:30:00,やっぱり共通理解のためのものというか,Lavender
話者3,00:01:32:00,00:01:34:00,なんかそんな感じもしたんですが,Lavender
話者3,00:01:35:00,00:01:36:00,したんですが,Lavender
話者3,00:01:36:00,00:01:39:00,すいません話がちょっと抽象的になってきてしまいましたけど,Lavender
話者3,00:01:40:00,00:01:45:00,なんでもかんでも見えるようにすりゃいいっていうもんでもないのかなっていう方で思うというか,Lavender
話者3,00:01:48:00,00:01:50:00,この辺はどうでしょうか,Lavender
ライラ,00:01:50:00,00:01:53:00,何を言ってるのかごめんわからないんだけど,Rose
ライラ,00:01:54:00,00:01:55:00,質問が難しすぎると,Rose
石川,00:01:57:00,00:01:58:00,そうですね,Violet
石川,00:01:58:00,00:01:59:00,いやあのね,Violet
石川,00:02:01:00,00:02:04:00,それに対する答えなのかどうか分からないけど,Violet
石川,00:02:05:00,00:02:06:00,でも引き算んだけどな,Violet
石川,00:02:06:00,00:02:11:00,やっぱりこの場にこの空間に入って最初に思ったのは,Violet
石川,00:02:11:00,00:02:14:00,すごいなんかこう全体のなんかその,Violet
石川,00:02:14:00,00:02:16:00,やっぱりこう,Violet
石川,00:02:18:00,00:02:19:00,なんていうんだろう,Violet
石川,00:02:20:00,00:02:22:00,すごいしょうもない言い方だけど,Violet
石川,00:02:22:00,00:02:23:00,センスがいいというか,Violet
石川,00:02:24:00,00:02:25:00,要するにその,Violet
石川,00:02:30:00,00:02:31:00,デザイン,Violet
石川,00:02:38:00,00:02:39:00,デザインされた,Violet
石川,00:02:40:00,00:02:42:00,空間や物の,Violet
石川,00:02:42:00,00:02:43:00,水準を,Violet
石川,00:02:44:00,00:02:46:00,ちゃんと高くしておくということの,Violet
石川,00:02:48:00,00:02:50:00,大事だなっていうことですよね,Violet
石川,00:02:50:00,00:02:52:00,それには非常なやっぱり,Violet
石川,00:02:53:00,00:02:54:00,基礎的な訓練とか,Violet
石川,00:02:55:00,00:02:56:00,それから,Violet
石川,00:02:57:00,00:02:58:00,デザイナーとしての,Violet
石川,00:02:59:00,00:03:00:00,読解力とかね,Violet
石川,00:03:01:00,00:03:03:00,表現力みたいなものがあって,Violet
石川,00:03:03:00,00:03:04:00,それがあるからこそ,Violet
石川,00:03:05:00,00:03:06:00,なんかこう,Violet
石川,00:03:07:00,00:03:08:00,面白い人を,Violet
石川,00:03:09:00,00:03:11:00,アーティストとしてきちんと扱えるというか,Violet
石川,00:03:13:00,00:03:16:00,そこって実は,Violet
石川,00:03:16:00,00:03:22:00,多分さっきおっしゃったような何でもかんでも取り入れて,Violet
石川,00:03:26:00,00:03:30:00,ルールの幅を広げさえすればいいよねっていうわけではないよねっていうのは,Violet
石川,00:03:32:00,00:03:34:00,ちゃんとデザインされているからだと思いますね,Violet
石川,00:03:36:00,00:03:37:00,そこ重要,Violet
ライラ,00:03:37:00,00:03:40:00,結構私は引き算が多いですね,Rose
ライラ,00:03:40:00,00:03:49:00,バーって集めて要素を集めてからこう 引き算引き算していって重要要素は何なんだろうっていうのを,Rose
ライラ,00:03:50:00,00:03:59:00,探し出すっていうことを決定するそういう意味では編集能力も読解能力も 必要で,Rose
ライラ,00:04:00:00,00:04:07:00,すでに手と頭 のコミュニケーションが行き来してるのがを作っておくというか,Rose
ライラ,00:04:07:00,00:04:13:00,ずっと頭だけで考えると結構イギリスの美大にいた時は,Rose
ライラ,00:04:14:00,00:04:17:00,頭でまずコンセプトを固めてから作るみたいな思想だったのが,Rose
ライラ,00:04:17:00,00:04:21:00,日本に来ても手を動かしながら考えるに変わったんですけど,Rose
石川,00:04:21:00,00:04:24:00,イギリスの美大でそういう指導をされたんですか,Violet
ライラ,00:04:24:00,00:04:25:00,指導された,Rose
ライラ,00:04:26:00,00:04:27:00,コンセプトはまず,Rose
ライラ,00:04:28:00,00:04:31:00,そうそうコンセプトね中間発表でコンセプトを発表してみたいな,Rose
ライラ,00:04:31:00,00:04:32:00,なるほど,Rose
ライラ,00:04:32:00,00:04:34:00,その後で最終的にそれをどうぞ,Rose
ライラ,00:04:34:00,00:04:40:00,そうそうで意外とねつまんないものができちゃったりするんですよ 今見返すと,Rose
ライラ,00:04:43:00,00:04:53:00,それも大事なんだけどなんか常にこう交互してさっきも言ったように突拍子もない ところが多って思う瞬間があってそこをうまくつかめるかどうか,Rose
ライラ,00:04:54:00,00:04:55:00,なるほど あここだっていう,Rose
ライラ,00:04:57:00,00:05:05:00,そこってすごい感性と姿勢の間行き来してるから なんか納得いくものになるというか,Rose
石川,00:05:06:00,00:05:11:00,いう感じが なんかそれにこうなんとなくポジティブというか,Violet
石川,00:05:12:00,00:05:16:00,ちょっとこうなんかくすっと笑っちゃうみたいな それはある種のユーモアみたいなものが,Violet
ライラ,00:05:18:00,00:05:27:00,感じられるんだけど あるしあとは自分の中で譲らないルールっていうのを絶対作っておくで渋谷フォントでは,Rose
ライラ,00:05:28:00,00:05:29:00,絶対キュートにしないっていう,Rose
石川,00:05:32:00,00:05:33:00,それはいいことをおっしゃいますね,Violet
ライラ,00:05:34:00,00:05:36:00,それは障害,Rose
ライラ,00:05:36:00,00:05:38:00,特に知的障害がある方は,Rose
ライラ,00:05:38:00,00:05:42:00,どうしても可愛く見られちゃうことが多いから,Rose
ライラ,00:05:42:00,00:05:45:00,そうじゃない部分をもっと引き出したいっていう,Rose
ライラ,00:05:45:00,00:05:47:00,私の個人的な思いもあって,Rose
石川,00:05:48:00,00:05:49:00,なるほど,Violet
ライラ,00:05:49:00,00:05:52:00,キュートは避けようっていうことを,Rose
ライラ,00:05:53:00,00:05:55:00,そこはとっても大事ですね,Rose
ライラ,00:05:55:00,00:06:03:00,だからそういうそういう優秀らない部分は絶対作っておかなければいけない そこが判断さっき言ったこれは果たして,Rose
ライラ,00:06:06:00,00:06:12:00,そのインクルーシブな方向に行ってた入ってないかみたいな軸になる 逆に何か今のインクルーシブデザイン,Rose
石川,00:06:13:00,00:06:18:00,陥りやすいところじゃないですかね キュートにしてしまう,Violet
ライラ,00:06:18:00,00:06:27:00,言葉とかねみんなでとか全部ひらがなだからね キュートにすることってすごいなんかちょっと,Rose
石川,00:06:28:00,00:06:29:00,実は力関係,Violet
ライラ,00:06:33:00,00:06:42:00,まあエモーショナルそのよくエモーショナルケースとビジネスケースって結構 インクルーシブでは言うんですけどそこのバランスをしっかりする,Rose
ライラ,00:06:42:00,00:06:45:00,エモーショナルに寄りすぎると感情的に,Rose
ライラ,00:06:47:00,00:06:49:00,これは何の意味を持ってやったかとか,Rose
ライラ,00:06:50:00,00:06:53:00,作る人たちにとってどういう思いがあるのかというのが,Rose
ライラ,00:06:53:00,00:06:54:00,エモーショナルの部分と,Rose
ライラ,00:06:55:00,00:06:56:00,でもそこにビジネスケース,Rose
ライラ,00:06:56:00,00:06:58:00,これを生むことによって,Rose
ライラ,00:06:58:00,00:07:02:00,どんな経済的論理的効果があるかみたいなことを,Rose
ライラ,00:07:02:00,00:07:08:00,その2つをバランスとってやるというのはすごく大事で,Rose
ライラ,00:07:08:00,00:07:10:00,みんなどうしても感情的に,Rose
ライラ,00:07:11:00,00:07:12:00,心を取られちゃう,Rose
ライラ,00:07:12:00,00:07:14:00,どうしてもそんなストーリーを聞いちゃったらね,Rose
ライラ,00:07:16:00,00:07:18:00,そうなるけどそこは私はうまくこう,Rose
ライラ,00:07:19:00,00:07:24:00,なるべくロジックも一緒に比例して考えるようにして,Rose
ライラ,00:07:25:00,00:07:28:00,結構施設の方々にも意地悪なことを言って,Rose
ライラ,00:07:29:00,00:07:33:00,自分たちの欲しいものはしっかり言いなさいとか,Rose
ライラ,00:07:34:00,00:07:37:00,そこは遠慮せずに物事を言ったりとか,Rose
ライラ,00:07:38:00,00:07:40:00,するようにはしてますね,Rose
石川,00:07:40:00,00:07:42:00,あとなんかキュートって,Violet
石川,00:07:42:00,00:07:43:00,なんていうのかな,Violet
石川,00:07:44:00,00:07:45:00,それをキュートである,Violet
石川,00:07:46:00,00:07:48:00,キュートなものとしてめでる側が,Violet
石川,00:07:48:00,00:07:50:00,なんかこうちょっとやっぱり優位に,Violet
石川,00:07:50:00,00:07:51:00,立ってしまうっていうか,Violet
石川,00:07:51:00,00:07:53:00,そうなんですよ観客に,Violet
石川,00:07:53:00,00:07:54:00,そういうなんかこう,Violet
石川,00:07:54:00,00:07:55:00,パワー,Violet
石川,00:07:56:00,00:07:57:00,なんていうか,Violet
