Speaker Name,Start Time,End Time,Text
東島,00:00:12:00,00:00:16:05,ここで付けるのをちょっと待ちください
東島,00:01:04:15,00:01:11:13,[HALLUCINATION_FILTERED]
東島,00:01:38:10,00:01:40:10,もうこれ映らないので
東島,00:03:28:10,00:03:34:05,分かりました。これなんか後ろ車とか救急車とか通った時はもう一回言った方がいいんですか?
東島,00:04:09:03,00:04:11:20,はい。よろしくお願いします。
東島,00:04:13:13,00:04:15:03,なるべきではい
東島,00:04:57:20,00:05:00:10,何もないんですよ
東島,00:05:41:07,00:05:43:07,はい
東島,00:06:26:22,00:06:28:20,そうなんですか
東島,00:07:05:23,00:07:08:10,めっちゃイントロがうまい
東島,00:07:40:10,00:07:42:12,ありがとう うわぁ嬉しい
東島,00:08:02:15,00:08:13:03,そうですね、少ないと思います。基本形はあるのがベースで、ないってなるとかなり限られてきて、あと極端に短いとかだとちょっといるんですけど、完全にないはかなり少ない。
東島,00:09:15:00,00:09:30:07,それは化石の証拠から結構はっきり分かっていまして人に尻尾がないっていうのがそもそも人上下って類人猿を含めての先祖からの共有の形質なんですけどもその尻尾がない一番古い化石
東島,00:09:30:07,00:09:45:15,すでにまだ4足歩行で2足で歩いてないんですよねなので先に尻尾がなくなってからしばらく経ってから2足歩行を獲得したという風に考えるのが自然でなので尻尾の喪失の方が先に起きてるねっていう話
東島,00:10:07:00,00:10:23:09,難しいですね。正直現時点だと何も積極的にこうだという証拠も、何かを否定する証拠も現時点でないので、何でも言えちゃうような状況ではあるんですけど、まず少なくとも今言われている仮説で1個一番有力士というか支持している人が多い。
東島,00:10:23:09,00:10:39:18,ゆっくり動いたからじゃないかという説なんですけどあれはちょっと違うと思っていて私自身は何かなくなる積極的な理由があったんじゃないかなというふうには考えていますなくならざるを得ない理由かなくなった方が良かった理由かどっちかがあったんじゃないかなと
東島,00:10:57:03,00:11:06:15,そうですね、あるいは何かそういう積極的な理由ではなくて、発生学的なそれこそ製薬によって作ることができなくなったという可能性もあるんじゃないかな。
東島,00:11:38:05,00:11:52:05,そうですね。例えば下半身の方の形成というと、尻尾の周りだと生殖器とか足とか、運動様式に非常に関わるようなところも同じような遺伝子の仕組みで作っているところがあると思うので、例えば、生殖器なり、
東島,00:11:52:05,00:12:06:05,繁殖なり運動なりにすごく必要な形質を獲得するために何かのスイッチをオンにしなきゃいけないそうすると尻尾を作ることができないみたいななんかこういうこっちが立ったらあっちが立たないみたいなそういう関係があってもいいんじゃないかなとは思っています
東島,00:12:26:05,00:12:41:04,なるほど。一番あるのはやっぱり運動でバランスを取るのが一番大事ですよね。その祖先も木の上にいたのでバランスを取るためにはあったほうが良かったはずなんですよ。機能的にはあったほうが良かったのになくなっているというのが不思議なんですけど。
東島,00:12:41:04,00:12:56:02,外的なシグナルとして使います群れの中の順位とか今交尾OKっていうサインだったりとかあとは仲間同士の信頼関係の確認だったり威嚇だったりとかあとは他だと死亡の貯蓄とかもあります
