Speaker Name,イン点,アウト点,文字起こし,色選択
吉田,00:08:24:05,00:08:34:02,でもね、本当人間って面白くて、やっぱり吉本有名な人間は善意にしか感染しないって書いてましたけど、そこは変わらないんだなっていう感じがするんです。,Gray
山本,00:25:34:22,00:27:31:01,だから大学も授業は嫌だけどゼミはいいなっていつも思うんですけどね。 そういう議論の中でうまくうまく方向性調整しながら、みんなで一つの話題、議題を多角的に見ていくっていう意味で。 うん、塾ってほんといいところだなって思ってて。 そういうそういう塾から新規にいろんな思想家、活動家が生まれていったというのはよくわかるっていう気がしますね。 うん。 だってそういう場所、きっと他にいなかっただろうから。 塾が限られてるから。 だからここがいろんな人を生んでいたっていうのはよく理解できるんで、それは多分今でも全然ありふれちゃってるけど、でもこういう適塾のような実りある議論、あるいは実りある切磋琢磨の場所っていうのは、うーん、いろんなところにもあるはずだし、その一つを自分でうまく関わっていきたいなっていうふうには思いましたけどね。 何か問いっていうよりは、所信表明みたいになっちゃったけど、民主主義の更新は千葉からってあるけど、いろんな人が。 どこの馬の骨とも知れぬ人は頼むうって言ってやってきて、議論していくっていうのは、何か議論の本来の属性関係なくね？っていうのは議論の本来のあり方かなというふうに思いましたね。 そうですよね。 確かにという悪い意味じゃなくて、非常にいい意味でのエリートっていうか、同じ問題意識を共有してて、最低の言葉を通じるもの、キーワードは共有してるっていうところもあって、それはやっぱり塾っていう言葉に表れてるかなって思いましたね。,Teal
大津留,00:27:31:01,00:27:40:06,ましたね。 開かれてるって思うんだけど、同時に何を言っても安心できる。 お互いに対する信頼。,Teal
吉田,00:27:40:06,00:27:42:18,この熟議が大事とおっしゃったんですけど、話し合うっていうのは大臣と話し合うために前提が必要で、やっぱり傾聴するとか、相手を信頼するとか、まずそれがないと話し合っても意味がないと思うんですよね。 だから、こういうやっぱりね、こう変動期にあって、旧来の秩序が崩れ、音を立てて崩れて、凡庸な言い方になるけど、そういう時にどうしたらいいのかって、やっぱり立場を超えてみんなで。,Teal
山本,00:27:42:20,00:28:03:23,そうですよね。 確かに言った悪いによって非常にいい意味でのエリートというか、同じ問題意識を共有してて、最低の言葉を通じるものをキーワードは共有しているっていうところもあって、それはやっぱり塾っていう言葉に表れてるかなと思いましたね。,Teal
吉田,00:28:04:01,00:29:14:06,っていうことだと思うんですよね。 だから塾ってここだけじゃなくて、いろんな形で試みもあったし、フランス革命の後にもいろいろな、当時はクラブって呼んでましたけど、いろんなクラブもあったし、旧来の秩序が崩れている時に、どういう風にしたらいいんだろういうのは、この手の私的な結社みたいなものがやっぱり自然と生まれるんだろうなと思うんで、そこでやっぱり同じを、同じ考えを持ってないにしても、同じ方向で同じ問題意識を持ってる人の間では信頼っていう のも生まれるだろうし、そういうのが今また必要なんだしも徐々に生まれてきてるとは思いますね。 いろんなクラブもあったし、旧来の秩序が崩れている時に、どういう風にしたらいいんだろうっていうのは、この手の私的な結社みたいなものがやっぱり自然と生まれるんだろう。 そこがやっぱり同じ。 同じ考えを持っていないにしても、同じ方向、同じ問題意識を持っている人の間での信頼っていうのが生まれると思います。 蓄積されたものがたくさんある。,Teal
大津留,00:29:19:10,00:29:57:10,僕なんか先生の後ろの方なので、今さらネットワークは作れないんですけれども。 若い人たちは本当にここだけじゃなくて、これがいろんな形で、いろんな場所でネットワークとして役に立っていくんだっていうことで、役に立つためにネットワークを作るっていういやらしさではなくて、そこで大事だと思った人たちと自分が繋がって繋がり続けたいと思える、そういう人間関係が作れるということが大事なんだろう。 そうですね。,Teal
吉田,00:29:57:12,00:29:59:22,蓄積されたものがたくさん。,Teal
大津留,00:30:00:00,00:30:24:05,若い人たちは本当にここだけじゃなくて、これがいろんな形で、いろんな場所でネットワークとして役に立っていくんだっていうことで、役に立つためにネットワークを作るといういやらしさではなくて、そこで大事だと思った人たちと自分がつながってつながり続けたいと思う。 そういう人間関係が作れるっていうことが大事な。,Teal
山本,00:30:24:07,00:30:55:03,だから適塾がちょっと最盛期何言ったのかわかんないんだけど、この建物の外観を見ると、そんなにたくさんは入れなかろうっていう気もするし、メンバーの顔の見える感ていうんすかね、言い換えるとね。 一応そういう経験があるんすね。 そうか、150人がマックスか。 面白い。 じゃやっぱり全然適正人数的にの。,Teal
吉田,00:30:55:05,00:31:00:00,何とかの法則っていう。 面白いですね。,Teal
D,00:31:00:02,00:31:00:19,の。,Teal
山本,00:31:00:21,00:31:01:17,があるんですね。,Teal
吉田,00:31:01:19,00:31:12:13,いい感じですね。 少なすぎてもダメだですね。 多すぎてもダメなので。 もちろん全部女性がいたのかある。,Teal
不明,00:31:12:15,00:31:16:09,そうか、150人がマックス。,Teal
吉田,00:31:16:11,00:31:32:19,時代だったらそうですよね。読み書きができるっていう時点でね。 面白い。,Teal
山本,00:31:32:21,00:31:36:15,情報が全然適正や。,Teal
吉田,00:31:36:17,00:31:42:09,みんな結果がどうなるか分からないと行動しない。 それから仲間作りが下手で、これはこの2つが条件になっちゃうと未来は作れない。 そう思います。 何人が生まれるか分からないけど、とにかく仲間と何かをやろうとする。 それが未来を作るので、その条件に大きく日本が欠けてるとそういう。,Teal
大津留,00:31:42:11,00:31:45:01,もちろん全部男性ですよね。,Teal
吉田,00:31:45:03,00:31:51:19,女性がいたのが。 仙台だったそうです。,Teal
山本,00:31:51:21,00:31:52:22,その時代はそうでしょ。,Teal
吉田,00:31:52:22,00:32:00:18,なので、そういう状況を変えるような、こういう私的な集いっていうのが大事です。,Teal
D,00:32:00:20,00:32:11:15,ありがとうございます。丸山さん。,Teal
山本,00:33:55:04,00:35:35:12,あれは1種の合理精神の極まった一つの形っていう気がしましたね。 多面的に見るとか、批判が上手とかっていうところもあると思いますけど、そういう精神性と。 そうですね、1種の合理性が資本主義とどこかで相性がいいっていうところも福沢の場合はあるのかなっていうふうに思いますね。 やっぱりあの人の文章を読んでいると、お金に。 血や魂が入ってるってまだ思ってた人じゃないかなって思うんですよね。 そんな気が私はしてますね。 だから身銭切って学んで当然やって、むしろその方がその方が学びの効率が上がるっていうように考えてたところがあるんじゃないかと思いますけど。 生命のこと。 丸山好きでしたもんね。 福沢諭吉。 1400。 そんだけの外で話すことないもんね。,Brown
