Speaker Name,イン点,アウト点,文字起こし,色選択
ライラ,00:00:00:00,00:00:18:00,"もう手放してるからっていうスタンス。なるほど。なので、なんかいい意味でそこ、自己責任の余地をちゃんと分かり合っているというか。まあいいこともあれば悪いこともありますけど、確かに洗濯機の中に入れなくても。",Rose
石川,00:00:19:00,00:00:25:00,注意書きはものすごく増えましたね。すごく増えた。,Violet
ライラ,00:01:50:00,00:01:55:00,"何を言ってるのかごめんわからないんだけど、質問が難しすぎると。",Rose
石川,00:01:58:00,00:03:36:00,"いやあのね、それに対する答えなのかどうか分からないけど、だけどやっぱり俺この場にこの空間に入って最初に思ったのは、すごい全体の、なんていうんだろう、すごいしょうもない言い方だけどセンスがいいというか。要するにデザインされた空間や物の水準をちゃんと高くしておくということの大事だなということですよね。それには非常な基礎的な訓練とか、それからデザイナーとしての読解力とか表現力みたいなものがあって、それがあるからこそ面白い人をアーティストとしてきちんと扱えるというか。そこって実は多分さっきおっしゃったような、何でもかんでも取り入れてルールの幅を広げさえすればいいよねというわけではないよねというのは、ちゃんとデザインされているからだと思いますね。そこ重要。",Violet
ライラ,00:03:37:00,00:04:21:00,"結構私は引き算が多いですね。バーって集めて要素を集めてからこう、引き算引き算していって重要要素は何なんだろうっていうのを探し出すっていうことを決定する。そういう意味では編集能力も読解能力も必要で、すでに手と頭のコミュニケーションが行き来してるのを作っておくというか。ずっと頭だけで考えると、イギリスの美大にいた時は頭でまずコンセプトを固めてから作るみたいな思想だったのが、日本に来て手を動かしながら考えるに変わったんですけど。",Rose
石川,00:04:21:00,00:04:27:00,イギリスの美大ではそういう指導をされたんですか。コンセプトはまず立てろと。,Violet
ライラ,00:04:28:00,00:04:32:00,"そうそう、中間発表でコンセプトを発表してみたいな。",Rose
石川,00:04:31:00,00:04:34:00,なるほど。その後で最終的にそれがどう造形されたかっていう。,Violet
ライラ,00:04:34:00,00:05:05:00,"そうそう。で意外とねつまんないものができちゃったりするんですよ、今見返すと。それも大事なんだけどなんか常にこう交互して、さっきも言ったように突拍子もないところがぽっと出る瞬間があって、そこをうまくつかめるかどうか。あここだっていう。そこってすごい感性と姿勢の間行き来してるから、なんか納得いくものになるというか。",Rose
石川,00:05:05:00,00:05:18:00,"なるほど。なんかそれにこうポジティブというか笑っちゃうみたいな、ある種のユーモアみたいなものが感じられるんだけど。",Violet
ライラ,00:05:18:00,00:06:03:00,"あるし、あとは自分の中で譲らないルールっていうのを絶対作っておく。で渋谷フォントでは絶対キュートにしないっていう。それは障害、特に知的障害がある方はどうしても可愛く見られちゃうことが多いから、そうじゃない部分をもっと引き出したいっていう私の個人的な思いもあって、キュートは避けようっていうことを。だからそういう譲らない部分は絶対作っておかなければいけない。そこが判断の軸になる。そのインクルーシブな方向に向かっているかどうかの軸になる。",Rose
石川,00:05:31:00,00:05:33:00,それはいいことをおっしゃいますね。,Violet
石川,00:05:53:00,00:05:55:00,そこはとっても大事ですね。,Violet
石川,00:06:10:00,00:06:17:00,"逆に今のインクルーシブデザインで一番みんなが陥りやすいところじゃないですかね、キュートにしてしまうっていうか。",Violet
ライラ,00:06:18:00,00:06:27:00,言葉とかねみんなでとか全部ひらがなだからね。キュートにすることってすごいなんかちょっと。,Rose
石川,00:06:22:00,00:06:31:00,でもキュートにすることってすごい実は力関係を生むというか。,Violet
ライラ,00:06:33:00,00:07:40:00,"エモーショナルケースとビジネスケースって結構インクルーシブでは言うんですけど、そこのバランスをしっかりする。エモーショナルに寄りすぎると感情的になる。これは何の意味を持ってやったかとか、作る人たちにとってどういう思いがあるのかというのがエモーショナルの部分と、でもそこにビジネスケース、これを生むことによってどんな経済的論理的効果があるかみたいなことを、その2つをバランスとってやるというのはすごく大事で。みんなどうしても感情的に心を取られちゃう。そうなるけどそこは私はなるべくロジックも一緒に考えるようにして、結構施設の方々にも意地悪なことを言って、自分たちの欲しいものはしっかり言いなさいとか、そこは遠慮せずにするようにはしてますね。",Rose
石川,00:07:40:00,00:07:59:00,"あとなんかキュートって、それをキュートであるキュートなものとしてめでる側がちょっとやっぱり優位に立ってしまうっていうか。そういう権力構造みたいなものを生むよね。",Violet
ライラ,00:07:59:00,00:08:47:00,"そうなんですよね。変にみんな褒めすぎないというか。もちろん物としては素晴らしいんだけど、障害者がこんなものをやりましたって言うと、全ての障害がある人がこんなことできるんだっていう解釈にもなりかねないし、それを見たまだこういうものに関われてなかったりやったことのない障害がある人が、でも自分ってこんなことできないなっていう劣等感を生み出してしまったりすることもあるから。その社会的な文脈をしっかり考えてやることの、インクルーシブにおいては特にそこはすごい重要かなって思いますね。",Rose
石川,00:08:47:00,00:09:01:00,"とてもいいお話を聞いた。私が思っていることをすごい、デザイン教育に活かせるわ俺の。",Violet
ライラ,00:09:03:00,00:09:31:00,"一緒にやりましょう。2人で観察の授業をやったら面白いですよね。フィールドワークしたいの、絶対面白い。私も母がインクルーシブデザインを日本に持ってきた方なんで、常に母と出かけてる時に100m進むのに30分かかるんですよ。なんか見つけちゃうからみたいな。お母さんとか言いながら、あここ面白いねって。何気なくこうなっている形が。",Rose
石川,00:09:21:00,00:09:22:00,わかりますそれ。,Violet
石川,00:09:33:00,00:09:35:00,面白いですね。いいですね。,Violet
ライラ,00:10:12:00,00:10:16:00,渋谷フォントできます?大丈夫?聞きたい聞きたい。,Rose
ライラ,00:10:24:00,00:10:27:00,ちょっと飲み物を飲んでもいいですか。先生なんか飲みます?,Rose
ライラ,00:10:31:00,00:10:34:00,ちょっとお水持ってきますね。,Rose
石川,00:10:47:00,00:10:54:00,どうして俺今までこう知らなかったんだろう。,Violet
ライラ,00:10:48:00,00:10:55:00,"こんにちは。コーヒーやってるんだね、新しいラベルだ。かっこいい。",Rose
石川,00:10:59:00,00:11:02:00,原宿たまには立ち寄らないとダメですね。,Violet
ライラ,00:11:03:00,00:11:09:00,全部かっこいいけど。これもかっこいい。はみ出てるのがいいね。,Rose
石川,00:11:38:00,00:11:41:00,これTシャツいいっすね。,Violet
石川,00:11:58:00,00:12:09:00,"ホノルルと島ひとしなんですか、渋谷。海ないじゃんだって渋谷。",Violet
