Speaker Name,イン点,アウト点,文字起こし,色選択
千葉,00:04:17:04,00:04:20:03,東京に来るのは久しぶりですかそれとも。,Violet
東島,00:04:20:03,00:04:23:22,1ヶ月ぶりぐらいです。はい。,Violet
千葉,00:04:23:23,00:04:29:05,思ったん。 この辺。,Violet
東島,00:04:29:06,00:04:30:06,って皇居の方。,Violet
千葉,00:04:30:08,00:04:31:19,東京の真ん中じゃない。,Violet
東島,00:04:31:19,00:04:34:02,ですか。確かに。,Violet
千葉,00:04:34:04,00:04:39:20,東京に来るのは久しぶりですか。それともよく来られます。そうですか。ちょっと思ったんですけど。こっちってこっち。この辺って東京の真ん中じゃないですか。確かにここに来るとすごく。なんかこう。なんていうのかな。違和感を感じて。なぜか。なぜかというと。東京って東京。 ここに来ると僕なんか、なんていうのかな、違和感を感じて。,Violet
東島,00:04:39:21,00:04:40:12,違和感なく。,Violet
千葉,00:04:40:17,00:04:50:08,なぜかというと、東京って東京。普通都市って真ん中に目立つ建物。,Violet
東島,00:04:50:09,00:04:51:00,とか。,Violet
千葉,00:04:51:02,00:04:54:00,人が集まる場所とか、そういうのがあるじゃない。,Violet
東島,00:04:54:00,00:04:55:05,ですか。確かに。,Violet
千葉,00:04:55:08,00:05:03:04,普通都市ってなんか真ん中に目立つ建物とか。人が集まる場所とか。そういうのがあるじゃないですか。でもここ真ん中なのに何も見ても何もないんですよ。で。 でもここ真ん中なのに何も。 に何もないんですよ。,Violet
千葉,00:05:03:06,00:05:31:16,それで変わってるなって思うんですけど。でも歴史を踏まえてみると、ここ昔はちょっと向こうの方かな。巨大な天守閣があって、17世紀に巨大な天守閣があって、でも火事で燃えてということで、かつてはここにすごく目立つものがあって、多分そこが街の真ん中みたいな、そういう目印というか、そういう目立つものがあったと思うんですよね。 それで変わってるなと思うんですけど。でも歴史を踏まえてみる。 ここ昔は向こうの方かな。巨大な天守閣があって、7世紀に巨大な天守閣があって、でも火事で守り手ということではとしては、ここにすごく目立つものがあって、多分そこが街の真ん中みたいな、そういう目印というか、そういう目立つものがあったと思うんですよね。,Violet
千葉,00:05:31:17,00:05:40:21,でも今はなくなっちゃったりしろって言ったら、なんか店主があるじゃないですか。だから店主のない城ないしろ店主が存在しないしろっていうのは、何ていうのかな、この江戸城の。面白いところかなと思っていて。 でも今はなくなっちゃっ。 にしろって言ったら、なんか店主があるじゃ。 だから店主は内緒にして、店主が存在しない白というのは、なんていうの。,Violet
東島,00:05:40:22,00:05:41:10,白。,Violet
千葉,00:05:41:14,00:05:42:24,というのは、何ていうのか。,Violet
東島,00:05:43:00,00:05:43:12,かな。,Violet
千葉,00:05:43:14,00:05:47:17,この江戸城の面白いところかなと思っていて。,Violet
東島,00:05:47:17,00:05:53:13,そうですね。,Violet
