Speaker Name,イン点,アウト点,文字起こし,色選択
東島,00:00:00:09,00:00:07:03,蜂が来た。ミツバチ。,Violet
東島,00:00:07:05,00:00:11:14,できましたね。,Violet
東島,00:00:11:16,00:00:45:19,で、これをつけるも。ちょっとお待ちください。,Violet
東島,00:00:45:21,00:00:58:18,これはポッケに入れて。足すやつですか。これはね。もうポッケというよりは。もうつけていただければ。お話ができるようで。 ポッケに入れて。こう出すやつですか。,Violet
東島,00:00:58:20,00:01:07:08,それを信じて。,Violet
東島,00:01:07:10,00:01:25:04,こっちは聞こえてんだよな。大丈夫な。,Violet
東島,00:01:25:06,00:01:30:11,これを。,Violet
東島,00:01:30:13,00:01:38:11,れますと。,Violet
東島,00:01:38:13,00:01:42:08,うつらないよね。,Violet
東島,00:01:42:10,00:01:45:01,手。,Violet
東島,00:01:45:03,00:01:52:19,でこれも先生の収録用。,Violet
東島,00:01:52:21,00:01:59:10,そしてもうどこでも。,Violet
東島,00:01:59:12,00:02:32:05,マイクはついたので。実は収録は始まるか。 はじめられる状態。 事ある。 わかりました。,Violet
東島,00:02:32:07,00:02:33:23,ですけど。,Violet
D,00:02:34:00,00:03:03:15,ないですけど。よろしくお願いしますってはいけないんですけど。お二人スタイルではないというか。東北大学で2回公演があったということは。なかなか簡単ですけど。もうそういう国ですね。みたいな感じから始めてもらって。あとはもう僕は対応ぐらいしかしませんので、なかったら途中で話を聞かせてくださいと入りますけど、それ以外は本当にリラックスして、1時間ちょっと喋ってもらって、後で返事しますという感じです。,Rose
D,00:03:03:17,00:03:09:09,ゆるゆるとこの辺確認しておきたいところがなければ、1。,Rose
東島,00:03:09:11,00:03:15:04,まずは1時間くらい。,Violet
D,00:03:15:06,00:03:28:08,放送が50分ありますので、少なくとも50分必要で。で、ちょっといろいろ余談もあるでしょうから、1時間15分ぐらい、16の目安にしておりますです。,Rose
東島,00:03:28:10,00:03:52:13,わかりました。後、車とか救急車とかとった時はもう一回行った方がいいんですけど、救急車はさすがにもう一回いただいた方がいいかもしれないですけど、この普通の交通量であれば全然問題なしで、目の前で噴水がバーっと上がったりはするんですけど、噴水上がりましたねって触れていただければ、何の音がわかるようになるので。 わかりました。目の前のことに触れていただく方がありがたいかなという感じです。 わかりました。これなんか後、車とか救急車とか通った時は、もう一回行った方がいいんですか。,Violet
東島,00:03:52:14,00:03:57:20,他になければ。 なるほど。,Violet
千葉,00:03:57:22,00:03:59:16,雑に始めていいんですね。じゃあ雑に。 他になければ月に1点ですね。,Lavender
東島,00:03:59:18,00:04:04:09,この辺で。,Violet
東島,00:04:04:11,00:04:05:19,はい。,Violet
千葉,00:04:05:21,00:04:10:13,じゃあ、どっちかというと僕がホストっぽいホスト役っぽい感じでやりますんで。ですかね。はい。それは成り行きで成り行きで。 で、この辺にいます。 かというと、僕がホストっぽい感じでやります。,Lavender
東島,00:04:10:14,00:04:12:09,よろしくお願いします。,Violet
千葉,00:04:12:11,00:04:13:12,それは成り行き。,Lavender
東島,00:04:13:13,00:04:17:02,で成り行きで。,Violet
千葉,00:04:17:04,00:04:20:03,東京に来るのは久しぶりですかそれとも。,Lavender
東島,00:04:20:03,00:04:23:22,1ヶ月ぶりぐらいです。はい。,Violet
千葉,00:04:23:23,00:04:29:05,思ったん。 この辺。,Lavender
東島,00:04:29:06,00:04:30:06,って皇居の方。,Violet
千葉,00:04:30:08,00:04:31:19,東京の真ん中じゃない。,Lavender
東島,00:04:31:19,00:04:34:02,ですか。確かに。,Violet
千葉,00:04:34:04,00:04:39:20,東京に来るのは久しぶりですか。それともよく来られます。そうですか。ちょっと思ったんですけど。こっちってこっち。この辺って東京の真ん中じゃないですか。確かにここに来るとすごく。なんかこう。なんていうのかな。違和感を感じて。なぜか。なぜかというと。東京って東京。 ここに来ると僕なんか、なんていうのかな、違和感を感じて。,Lavender
東島,00:04:39:21,00:04:40:12,違和感なく。,Violet
千葉,00:04:40:17,00:04:50:08,なぜかというと、東京って東京。普通都市って真ん中に目立つ建物。,Lavender
東島,00:04:50:09,00:04:51:00,とか。,Violet
千葉,00:04:51:02,00:04:54:00,人が集まる場所とか、そういうのがあるじゃない。,Lavender
東島,00:04:54:00,00:04:55:05,ですか。確かに。,Violet
千葉,00:04:55:08,00:05:03:04,普通都市ってなんか真ん中に目立つ建物とか。人が集まる場所とか。そういうのがあるじゃないですか。でもここ真ん中なのに何も見ても何もないんですよ。で。 でもここ真ん中なのに何も。 に何もないんですよ。,Lavender
