Speaker Name,イン点,アウト点,文字起こし,色選択
話者 1,00:01:03:12,00:01:11:27,今月1。,Lavender
話者 1,00:01:11:32,00:01:24:51,11。,Lavender
相馬,00:01:24:56,00:01:34:21,私なんか家族に何かの障害があるじゃないかという勢いで え、覚えてないのってよく言われるんですよ だからこれはパーファナルなものだとか 大事に思ってないとかいう意味ではなくて なんでも忘れちゃうんですよ 記憶の収支はそうなんですよ ゴシップいつ聞いても新鮮みたいな 何回聞いても新鮮みたいな どれですか?はいはいはいはいはい そうなんですよ すいません本当に困難が出てきて このためにもっかいを? 楽しく私なんか別に フラフラフラフラフラスの好きなので,Violet
相馬1,00:01:34:26,00:01:45:00,主催。で。どうですか。,Lavender
相馬1,00:01:45:04,00:01:52:33,そうなんですよ。すいません。,Lavender
相馬,00:01:52:38,00:02:02:32,いや、あの、あれ、お目にかかったこと、私、あの、あの、あの、今こう写ってるのかな、あの、あれどこだろう、なんか、あの、また別の企画でお目にかかったこと。,Violet
藤井,00:02:02:37,00:02:08:53,これね、これ。 ああ、そうなんですね。,Rose
相馬,00:02:08:58,00:02:25:53,いいですねスペイン,Violet
相馬,00:02:25:58,00:02:36:15,へぇ。 スペインいいな ご飯がおいしそうみたいな ですよね,Violet
藤井,00:02:36:20,00:02:44:44,この2人がキャスティングされたのはたまたまなんですか,Rose
藤井1,00:02:44:49,00:03:00:53,ここのキャスティングがたまたまなんですか。,Lavender
藤井,00:03:00:58,00:03:13:34,でもひらめいたら知り合いだったんで へー なんか人間って面白いですね,Rose
藤井,00:03:13:39,00:03:36:58,ありがとうございます ありがとうございます でも私と藤井さんの関係って 多分どこにも明らかに 確かにわかんないですよね 調べてもわかんないですよね,Rose
相馬,00:03:37:03,00:03:40:31,調べても分からないですよね 調べても分からない どこにも出てこない,Violet
話者 1,00:03:40:36,00:03:42:42,ってやってる。,Lavender
相馬,00:03:42:44,00:03:43:02,確かに ほとんど出てこないと思う 調べたとしても出てこないと思います,Violet
相馬,00:03:43:03,00:04:04:01,確かに そうですね そういう感じね そうですね,Violet
相馬1,00:04:04:06,00:04:14:48,そうですね。そうですよね。,Lavender
話者 1,00:04:14:53,00:04:27:28,でも。,Lavender
藤井,00:04:27:33,00:05:09:18,カラスとかしかいないかも なるほどね,Rose
藤井,00:05:09:23,00:06:04:41,お待たせしました はい ちょっと雑談ね いいんですか ちなみに1個聞いておきたいんですけど 番組のことはあまり事前にしていなくて 誰が聞いてるやつなんですか,Rose
藤井,00:06:04:46,00:07:00:21,これラジオでいいんですよね ラジオですよね そもそもですけど ん ああああ 難 あんまり考えなくても大丈夫な感じっていう 理解です そうなんですね わかりました すごいな なんかすごいですね,Rose
相馬,00:07:00:26,00:07:16:43,私ちゃんと予習しましたよ さすがですね いやそんなことはないですけど 前々回ぐらい 前々回ぐらいの聞いてみた,Violet
藤井,00:07:16:48,00:07:20:02,ありがとうございます,Rose
相馬,00:07:20:07,00:07:27:26,私多分なんか 花粉書じゃないんですけど 寒暖差で スルスルしてるんで これ後で削っといてくれて なんかズルズル言う音が,Violet
相馬,00:07:27:31,00:07:35:12,え、暖かいんですか? こっちはもう来た瞬間に あったかいですね 温かいっていうか 寒いですけど でもだって 向こう今 プラスあったらありがたいみたいな,Violet
話者 1,00:07:35:17,00:07:39:11,と。,Lavender
藤井,00:07:39:16,00:07:48:05,あらそういう世界ですよ そういう世界ですよ なるほどね そうなんで、だからなんかちょっと… 今日寒いとか言いつつめちゃ暖かいぐらいの感覚,Rose
相馬,00:07:48:10,00:07:49:25,寒いとかいいですね、めっちゃ暖かいぐらいの感覚 いや、そこまではいかない…風吹いたら嫌なんですけど,Violet
藤井,00:07:49:29,00:07:52:42,そうですか どっちでも,Rose
