Speaker Name,イン点,アウト点,文字起こし,色選択
大津留,02:00:14:03,02:00:31:12,だから、その意味で、若かった頃はかなり打撃でしたね。 会えない子ね、画面を通してしか会えないっていうのは、何か人間性がこういう感じ。,Violet
山本,02:00:31:14,02:01:20:19,そうですね。 確かな。 何かズームでも随分と代替できるし、授業も大学によっては1回目と最後はオンラインでやりなさいって言われるようになるし。 それは別に全然いいことだと思うんだけど、先生なので別に合理的でいいと思うんですけどね。 やっぱりその、さっき私は緊張感という方したけど、新体制とかね、おんなじ空間で汗かいて一生懸命しゃべってる人が何人もいるっていうような、ああいう身体と結びついた来た空間認知としての公共の感じ方というのは、やっぱりいい意味で対面とオンラインの バランスを取っていく時期に来てるっていうふうには思いますね。 それは仕掛けの作り方の問題ですけどね。,Violet
吉田,02:01:20:21,02:01:46:02,さっき山田さんの話で、経済的に成功しちゃったからっていうので思い出したんですけど。 日本ってヨーロッパから日本に来て、あるいは日本からヨーロッパに行って、見知らぬ人とどういうふうに知り合うのか、あるいは自己紹介するのか。 日本って名刺交換しないとまず話始めないですよね。 とりわけ名刺交換食消息職業に就いてる人って、それは何でしょう。 例えばプライベートな場でも名刺交換する人がいるんですよ。,Violet
山本,02:01:46:04,02:01:48:15,確かに名刺交換するまで待ってたもんね。僕も。,Violet
吉田,02:01:48:15,02:03:15:23,商談だったらもちろんしますけど。 で、ヨーロッパって基本、自分にファンクションが与えられている。 それはカフェで店員さんと、それからお客とか契約先と取引先と発注先とっていう、そういう場合は一応上下とかヒエラルキーとか権威っていうのがそこに付随するんだけれども、その場所から一歩出ると、基本的に関係はフラットなんですよ。 それは男女とか年齢関係なくフラットになる。 さらにその傾向って今強まっている印象があるんですけど、日本だと何かな、職業とか社会的なステータスみたいなのがどこまでもついてくるっていうのがありますよね。 これはね、ある人は本当、鈴木寛って民主党の政治家がいましたけれども、彼が熟議の場を社会でつくろうって民主党政権時代にやるんですけど、一番どうにもならないのが丸の内アイヒマンだって言ってましたね。 丸の内のエリートサラリーマンは、熟議しようと思ってもできない。 それを社会的なポジションでポジショントークしかできないから、そんな非民主的な態度ってない。 そういうことですよね。 だから何やってましたか？部長でしたみたいな。 そういうそういうこと存在がね。,Violet
大津留,02:03:16:01,02:03:21:08,というか、自分自身が所属先と切り離して存在していないっていう。 家族もそうですよね。 何さんの。,Violet
吉田,02:03:21:10,02:03:26:06,それですよね。,Violet
山本,02:03:26:08,02:03:28:04,な人格ごと企業に丸抱えっていう。 そうそうそうそうそう。,Violet
吉田,02:03:28:04,02:03:29:10,場合によってはそれが小学校にまで持ち込まれることもあるわけですよね。,Violet
大津留,02:03:29:10,02:03:32:06,さんとか何さんとかいうの、お父さんは内々でとか、特に社宅なんかはそうですよね。,Violet
